# Name             RA2000        DEC2000       MWA_072-103_S   MWA_072-103_dS   MWA_103-134_S   MWA_103-134_dS   MWA_139-170_S   MWA_139-170_dS   MWA_170-231_S   MWA_170-231_dS   MOST_70cm_S   MOST_70cm_dS   SUMSS_40cm_S   SUMSS_40cm_dS   ATCA_20cm_S   ATCA_20cm_dS   PMN_6cm_S   PMN_6cm_dS   ATCA_6cm_S   ATCA_6cm_dS   AT20G_6cm_S   AT20G_6cm_dS   ATCA_3cm_S   ATCA_3cm_dS   AT20G_3cm_S   AT20G_3cm_dS   AT20G_2cm_S   AT20G_2cm_dS   alpha    alpha_err   alpha_N  
  051107-631211    05:11:07.03   -63:12:11.2   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            26.5           1.2             16.2          1.6            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.97    0.31        2        
  051132-700810    05:11:32.45   -70:08:10.7   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            6.90           0.80            4.40          0.48           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.89    0.46        2        
  044325-675627    04:43:25.15   -67:56:27.2   690             57               558             26               491             15               423             14               ...           ...            137.3          4.2             79.4          7.9            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.78    0.11        6        
  051151-661306    05:11:51.26   -66:13:06.2   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             1.56          0.16           ...         ...          4.20         0.48          ...           ...            ...          ...           ...           ...            ...           ...            0.795    0.063       2        
  051154-625914    05:11:54.24   -62:59:14.6   325             76               265             45               222             21               190             15               ...           ...            66.1           3.3             ...           ...            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.71    0.39        5        
  051230-702422    05:12:30.14   -70:24:22.3   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            23.3           1.1             20.8          2.1            ...         ...          19.0         1.9           ...           ...            13.0         1.3           ...           ...            ...           ...            -0.211   0.055       4        
  051310-661821    05:13:10.27   -66:18:21.2   ...             ...              154             27               166             14               164             14               ...           ...            47.3           1.8             33.8          3.4            ...         ...          12.0         1.2           ...           ...            5.76         0.69          ...           ...            ...           ...            -0.79    0.11        7        
  051338-692747    05:13:38.26   -69:27:47.1   ...             ...              594             90               358             35               305             22               ...           ...            111.7          3.6             74.3          7.5            ...         ...          21.9         2.2           ...           ...            11.2         1.2           ...           ...            ...           ...            -0.87    0.12        7        
  051346-640318    05:13:46.56   -64:03:18.7   334             57               378             23               398             11               404             11               ...           ...            318.5          9.6             199           20             51.0        7.0          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.43    0.15        7        
  051439-645010    05:14:39.65   -64:50:10.0   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            17.5           1.9             10.6          1.1            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.99    0.61        2        
  051446-644415    05:14:46.20   -64:44:15.0   ...             ...              ...             ...              198             14               158             13               ...           ...            46.4           1.6             26.6          2.7            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.90    0.15        4        
  051448-744125    05:14:48.77   -74:41:25.4   1650            53               1271            25               1108            17               938             13               ...           ...            281            11              ...           ...            43.0        6.0          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.90    0.13        6        
  051529-702125    05:15:29.30   -70:21:25.9   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            8.4            1.2             4.65          0.54           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.17    0.63        2        
  044328-711543    04:43:28.13   -71:15:43.2   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.95          0.42           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  051610-743021    05:16:10.85   -74:30:22.0   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            16.1           1.5             7.31          0.75           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.56    0.52        2        
  051714-625109    05:17:14.59   -62:51:09.7   659             59               489             28               405             14               352             12               ...           ...            149.9          4.6             ...           ...            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.63    0.18        5        
  051740-671246    05:17:40.87   -67:12:46.4   ...             ...              300             51               241             21               220             17               ...           ...            96.8           3.2             51.9          5.2            ...         ...          16.4         1.7           ...           ...            10.9         1.4           ...           ...            ...           ...            -0.78    0.12        7        
  051757-625020    05:17:57.60   -62:50:20.0   ...             ...              ...             ...              84              14               68              14               ...           ...            73.2           2.3             ...           ...            102.0       9.0          ...          ...           113.0         6.0            ...          ...           146.0         7.0            150.0         7.0            0.15     0.13        6        
  051801-672828    05:18:01.01   -67:28:28.2   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            40.6           2.1             23.7          2.4            ...         ...          7.33         0.77          ...           ...            4.01         0.52          ...           ...            ...           ...            -0.980   0.076       4        
  051833-704714    05:18:33.60   -70:47:14.3   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            10.3           1.3             4.36          0.44           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.70    0.58        2        
  051837-641704    05:18:37.32   -64:17:04.2   ...             ...              651             21               601             12               531             12               ...           ...            237.7          7.2             150           15             46.0        7.0          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.70    0.13        6        
  051909-681543    05:19:09.98   -68:15:43.9   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.59          0.26           ...         ...          6.98         0.79          ...           ...            ...          ...           ...           ...            ...           ...            0.798    0.086       2        
  052026-695127    05:20:26.74   -69:51:27.0   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            16.9           1.2             11.3          1.2            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.79    0.43        2        
  052043-694442    05:20:43.30   -69:44:42.4   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             4.58          0.47           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  044328-740514    04:43:28.08   -74:05:14.6   ...             ...              ...             ...              284             22               182             13               ...           ...            37.6           2.1             23.4          2.4            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.12    0.16        4        
  052047-724440    05:20:47.83   -72:44:40.6   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            10.8           1.7             4.85          0.52           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.58    0.75        2        
  052113-740540    05:21:13.68   -74:05:40.2   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             11.7          1.2            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  052126-732027    05:21:26.42   -73:20:27.2   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            21.2           2.1             7.70          0.81           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -2.00    0.61        2        
  052338-634405    05:23:38.26   -63:44:05.6   504             65               373             29               309             17               214             14               ...           ...            48.3           1.7             25.8          2.6            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.08    0.16        6        
  052441-671805    05:24:41.95   -67:18:05.8   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            22.1           1.4             11.4          1.2            ...         ...          3.70         0.46          ...           ...            ...          ...           ...           ...            ...           ...            -1.00    0.11        3        
  052536-631713    05:25:36.74   -63:17:13.9   679             56               588             27               487             13               400             11               ...           ...            181.7          5.5             125           12             42.0        7.0          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.67    0.13        7        
  052605-733322    05:26:05.35   -73:33:23.0   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            8.5            1.7             4.20          0.46           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.39    0.85        2        
  052619-655559    05:26:19.01   -65:55:59.2   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             ...           ...            ...         ...          ...          ...           ...           ...            3.06         0.31          ...           ...            ...           ...            ...      ...         ...      
  052626-655617    05:26:26.50   -65:56:17.9   1618            87               ...             ...              1138            37               ...             ...              ...           ...            365            17              ...           ...            ...         ...          45.4         4.5           ...           ...            33.0         3.3           ...           ...            ...           ...            -0.881   0.072       5        
  052635-630800    05:26:35.04   -63:08:01.0   ...             ...              154             44               95              13               104             12               ...           ...            34.2           1.4             21.1          2.1            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.75    0.33        5        
  044337-743941    04:43:37.22   -74:39:42.1   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            10.3           1.1             ...           ...            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
